id	movie_id	genre_id
000001_02	1	2
000001_03	1	3
000001_04	1	4
000001_05	1	5
000001_09	1	9
000002_02	2	2
000002_04	2	4
000002_09	2	9
000003_05	3	5
000003_14	3	14
000004_05	4	5
000004_08	4	8
000004_14	4	14
000005_05	5	5
000006_01	6	1
000006_06	6	6
000006_16	6	16
000007_05	7	5
000007_14	7	14
000008_02	8	2
000008_04	8	4
000009_01	9	1
000010_01	10	1
000010_02	10	2
000010_16	10	16
000011_05	11	5
000011_08	11	8
000011_14	11	14
000012_05	12	5
000012_11	12	11
000013_02	13	2
000013_03	13	3
000013_04	13	4
000014_08	14	8
000015_01	15	1
000015_02	15	2
000015_14	15	14
000016_06	16	6
000016_08	16	8
000017_08	17	8
000017_14	17	14
000018_05	18	5
000019_05	19	5
000020_01	20	1
000020_05	20	5
000020_06	20	6
000020_08	20	8
000020_16	20	16
000021_05	21	5
000021_06	21	6
000021_16	21	16
000022_06	22	6
000022_08	22	8
000022_11	22	11
000022_13	22	13
000022_16	22	16
000023_01	23	1
000023_06	23	6
000023_16	23	16
000024_08	24	8
000024_15	24	15
000025_08	25	8
000025_14	25	14
000026_08	26	8
000027_04	27	4
000027_08	27	8
000028_08	28	8
000028_14	28	14
000029_02	29	2
000029_08	29	8
000029_09	29	9
000029_13	29	13
000029_15	29	15
000030_06	30	6
000030_08	30	8
000031_08	31	8
000032_13	32	13
000032_15	32	15
000032_16	32	16
000034_04	34	4
000034_08	34	8
000036_06	36	6
000036_08	36	8
000038_04	38	4
000038_05	38	5
000039_05	39	5
000039_14	39	14
000040_08	40	8
000041_08	41	8
000041_17	41	17
000042_01	42	1
000042_06	42	6
000042_08	42	8
000043_08	43	8
000044_01	44	1
000044_02	44	2
000044_09	44	9
000045_05	45	5
000045_08	45	8
000045_16	45	16
000046_08	46	8
000046_14	46	14
000047_13	47	13
000047_16	47	16
000048_03	48	3
000048_04	48	4
000048_08	48	8
000048_12	48	12
000048_14	48	14
000049_08	49	8
000049_14	49	14
000050_06	50	6
000050_13	50	13
000050_16	50	16
000052_05	52	5
000052_08	52	8
000052_14	52	14
000053_02	53	2
000053_08	53	8
000054_04	54	4
000054_05	54	5
000055_08	55	8
000057_08	57	8
000058_05	58	5
000058_08	58	8
000058_14	58	14
000060_02	60	2
000060_04	60	4
000060_09	60	9
000061_08	61	8
000061_16	61	16
000062_08	62	8
000063_05	63	5
000063_06	63	6
000064_05	64	5
000064_14	64	14
000065_05	65	5
000066_01	66	1
000066_15	66	15
000066_16	66	16
000068_05	68	5
000068_14	68	14
000069_05	69	5
000070_01	70	1
000070_05	70	5
000070_11	70	11
000070_16	70	16
000071_01	71	1
000072_05	72	5
000072_08	72	8
000073_08	73	8
000073_17	73	17
000074_08	74	8
000074_14	74	14
000075_05	75	5
000075_08	75	8
000076_01	76	1
000076_15	76	15
000076_16	76	16
000077_07	77	7
000078_01	78	1
000078_06	78	6
000078_08	78	8
000078_16	78	16
000079_08	79	8
000079_16	79	16
000080_04	80	4
000080_08	80	8
000081_06	81	6
000081_08	81	8
000081_14	81	14
000082_05	82	5
000082_08	82	8
000083_08	83	8
000083_14	83	14
000085_08	85	8
000085_14	85	14
000086_01	86	1
000086_02	86	2
000086_08	86	8
000087_04	87	4
000087_05	87	5
000088_05	88	5
000089_01	89	1
000089_16	89	16
000092_08	92	8
000092_11	92	11
