id	user_id	movie_id	rating	rated_at
00000000-0000-0000-0000-000000000001_000001	00000000-0000-0000-0000-000000000001	1	4	2000-07-31 03:45:03+09
00000000-0000-0000-0000-000000000001_000003	00000000-0000-0000-0000-000000000001	3	4	2000-07-31 03:20:47+09
00000000-0000-0000-0000-000000000001_000006	00000000-0000-0000-0000-000000000001	6	4	2000-07-31 03:37:04+09
00000000-0000-0000-0000-000000000001_000047	00000000-0000-0000-0000-000000000001	47	5	2000-07-31 04:03:35+09
00000000-0000-0000-0000-000000000001_000050	00000000-0000-0000-0000-000000000001	50	5	2000-07-31 03:48:51+09
00000000-0000-0000-0000-000000000001_000070	00000000-0000-0000-0000-000000000001	70	3	2000-07-31 03:40:00+09
00000000-0000-0000-0000-000000000001_000101	00000000-0000-0000-0000-000000000001	101	5	2000-07-31 03:14:28+09
00000000-0000-0000-0000-000000000001_000110	00000000-0000-0000-0000-000000000001	110	4	2000-07-31 03:36:16+09
00000000-0000-0000-0000-000000000001_000151	00000000-0000-0000-0000-000000000001	151	5	2000-07-31 04:07:21+09
00000000-0000-0000-0000-000000000001_000157	00000000-0000-0000-0000-000000000001	157	5	2000-07-31 04:08:20+09
00000000-0000-0000-0000-000000000001_000163	00000000-0000-0000-0000-000000000001	163	5	2000-07-31 04:00:50+09
00000000-0000-0000-0000-000000000001_000216	00000000-0000-0000-0000-000000000001	216	5	2000-07-31 03:20:08+09
00000000-0000-0000-0000-000000000001_000223	00000000-0000-0000-0000-000000000001	223	3	2000-07-31 03:16:25+09
00000000-0000-0000-0000-000000000001_000231	00000000-0000-0000-0000-000000000001	231	5	2000-07-31 03:19:39+09
00000000-0000-0000-0000-000000000001_000235	00000000-0000-0000-0000-000000000001	235	4	2000-07-31 03:15:08+09
00000000-0000-0000-0000-000000000001_000260	00000000-0000-0000-0000-000000000001	260	5	2000-07-31 03:28:00+09
00000000-0000-0000-0000-000000000001_000296	00000000-0000-0000-0000-000000000001	296	3	2000-07-31 03:49:27+09
00000000-0000-0000-0000-000000000001_000316	00000000-0000-0000-0000-000000000001	316	3	2000-07-31 03:38:30+09
00000000-0000-0000-0000-000000000001_000333	00000000-0000-0000-0000-000000000001	333	5	2000-07-31 03:19:39+09
00000000-0000-0000-0000-000000000001_000349	00000000-0000-0000-0000-000000000001	349	4	2000-07-31 03:42:43+09
00000000-0000-0000-0000-000000000001_000356	00000000-0000-0000-0000-000000000001	356	4	2000-07-31 03:16:02+09
00000000-0000-0000-0000-000000000001_000362	00000000-0000-0000-0000-000000000001	362	5	2000-07-31 03:43:08+09
00000000-0000-0000-0000-000000000001_000367	00000000-0000-0000-0000-000000000001	367	4	2000-07-31 03:28:30+09
00000000-0000-0000-0000-000000000001_000423	00000000-0000-0000-0000-000000000001	423	3	2000-07-31 03:39:23+09
00000000-0000-0000-0000-000000000001_000441	00000000-0000-0000-0000-000000000001	441	4	2000-07-31 03:14:28+09
00000000-0000-0000-0000-000000000001_000457	00000000-0000-0000-0000-000000000001	457	5	2000-07-31 03:31:49+09
00000000-0000-0000-0000-000000000001_000480	00000000-0000-0000-0000-000000000001	480	4	2000-07-31 03:39:06+09
00000000-0000-0000-0000-000000000001_000500	00000000-0000-0000-0000-000000000001	500	3	2000-07-31 03:20:08+09
00000000-0000-0000-0000-000000000001_000527	00000000-0000-0000-0000-000000000001	527	5	2000-07-31 04:06:42+09
00000000-0000-0000-0000-000000000001_000543	00000000-0000-0000-0000-000000000001	543	4	2000-07-31 03:19:39+09
00000000-0000-0000-0000-000000000001_000552	00000000-0000-0000-0000-000000000001	552	4	2000-07-31 03:44:13+09
00000000-0000-0000-0000-000000000001_000553	00000000-0000-0000-0000-000000000001	553	5	2000-07-31 04:09:13+09
00000000-0000-0000-0000-000000000001_000590	00000000-0000-0000-0000-000000000001	590	4	2000-07-31 03:42:26+09
00000000-0000-0000-0000-000000000001_000592	00000000-0000-0000-0000-000000000001	592	4	2000-07-31 03:37:51+09
00000000-0000-0000-0000-000000000001_000593	00000000-0000-0000-0000-000000000001	593	4	2000-07-31 04:03:13+09
00000000-0000-0000-0000-000000000001_000596	00000000-0000-0000-0000-000000000001	596	5	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_000608	00000000-0000-0000-0000-000000000001	608	5	2000-07-31 03:48:51+09
00000000-0000-0000-0000-000000000001_000648	00000000-0000-0000-0000-000000000001	648	3	2000-07-31 03:42:43+09
00000000-0000-0000-0000-000000000001_000661	00000000-0000-0000-0000-000000000001	661	5	2000-07-31 03:47:18+09
00000000-0000-0000-0000-000000000001_000673	00000000-0000-0000-0000-000000000001	673	3	2000-07-31 03:29:35+09
00000000-0000-0000-0000-000000000001_000733	00000000-0000-0000-0000-000000000001	733	4	2000-07-31 03:40:00+09
00000000-0000-0000-0000-000000000001_000736	00000000-0000-0000-0000-000000000001	736	3	2000-07-31 03:44:13+09
00000000-0000-0000-0000-000000000001_000780	00000000-0000-0000-0000-000000000001	780	3	2000-07-31 04:08:06+09
