id	base_movie_id	rank	movie_id	score
000001_01	1	1	2330	1.0000000000000002
000001_02	1	2	179817	1.0000000000000002
000001_03	1	3	33779	1.0000000000000002
000001_04	1	4	7766	1.0000000000000002
000001_05	1	5	1533	1.0000000000000002
000001_06	1	6	34536	1.0000000000000002
000001_07	1	7	4754	1.0000000000000002
000001_08	1	8	3447	1.0000000000000002
000001_09	1	9	26375	1.0000000000000002
000001_10	1	10	6195	1.0000000000000002
000001_11	1	11	3046	1.0000000000000002
000001_12	1	12	1484	1.0000000000000002
000001_13	1	13	2074	1.0000000000000002
000001_14	1	14	4190	1.0000000000000002
000001_15	1	15	2579	1.0000000000000002
000001_16	1	16	3150	1.0000000000000002
000001_17	1	17	5994	1.0000000000000002
000001_18	1	18	41527	1.0000000000000002
000001_19	1	19	764	1.0000000000000002
000001_20	1	20	1406	1.0000000000000002
000002_01	2	1	91622	1.0000000000000002
000002_02	2	2	61	1.0000000000000002
000002_03	2	3	2093	1.0000000000000002
000002_04	2	4	105954	1.0000000000000002
000002_05	2	5	152083	1.0000000000000002
000002_06	2	6	4836	1.0000000000000002
000002_07	2	7	605	1.0000000000000002
000002_08	2	8	3810	1.0000000000000002
000002_09	2	9	6062	1.0000000000000002
000002_10	2	10	1626	1.0000000000000002
000002_11	2	11	4661	1.0000000000000002
000002_12	2	12	79274	1.0000000000000002
000002_13	2	13	550	1.0000000000000002
000002_14	2	14	5988	1.0000000000000002
000002_15	2	15	4624	1.0000000000000002
000002_16	2	16	3806	1.0
000002_17	2	17	4981	1.0
000002_18	2	18	33201	1.0
000002_19	2	19	4985	1.0
000002_20	2	20	5867	1.0
000003_01	3	1	4133	1.0000000000000002
000003_02	3	2	2497	1.0000000000000002
000003_03	3	3	2718	1.0000000000000002
000003_04	3	4	3142	1.0000000000000002
000003_05	3	5	1652	1.0
000003_06	3	6	60128	1.0
000003_07	3	7	132084	1.0
000003_08	3	8	132333	1.0
000003_09	3	9	59947	1.0
000003_10	3	10	132424	1.0
000003_11	3	11	4888	1.0
000003_12	3	12	1629	1.0
000003_13	3	13	4889	1.0
000003_14	3	14	86911	1.0
000003_15	3	15	60161	1.0
000003_16	3	16	59725	1.0
000003_17	3	17	59333	1.0
000003_18	3	18	133419	1.0
000003_19	3	19	4920	1.0
000003_20	3	20	59258	1.0
000004_01	4	1	4025	1.0
000004_02	4	2	3250	1.0
000004_03	4	3	2413	1.0
000004_04	4	4	606	1.0
000004_05	4	5	3255	1.0
000004_06	4	6	3256	1.0
000004_07	4	7	4963	1.0
000004_08	4	8	3259	1.0
000004_09	4	9	8984	1.0
000004_10	4	10	1735	1.0
000004_11	4	11	4039	1.0
000004_12	4	12	5879	1.0
000004_13	4	13	580	1.0
000004_14	4	14	8973	1.0
000004_15	4	15	8972	1.0
000004_16	4	16	613	1.0
000004_17	4	17	8970	1.0
000004_18	4	18	41566	1.0
000004_19	4	19	3269	1.0
000004_20	4	20	3271	1.0
000005_01	5	1	3063	1.0000000000000002
000005_02	5	2	3394	1.0000000000000002
000005_03	5	3	325	1.0000000000000002
000005_04	5	4	2815	1.0000000000000002
000005_05	5	5	1541	1.0000000000000002
000005_06	5	6	169	1.0000000000000002
000005_07	5	7	828	1.0000000000000002
000005_08	5	8	1948	1.0
000005_09	5	9	168418	1.0
000005_10	5	10	3484	1.0
000005_11	5	11	3497	1.0
000005_12	5	12	3500	1.0
000005_13	5	13	168632	1.0
000005_14	5	14	79879	1.0
000005_15	5	15	3502	1.0
000005_16	5	16	168846	1.0
000005_17	5	17	3506	1.0
000005_18	5	18	27618	1.0
000005_19	5	19	3511	1.0
000005_20	5	20	27555	1.0
000006_01	6	1	835	1.0000000000000002
000006_02	6	2	1392	1.0000000000000002
000006_03	6	3	30	1.0000000000000002
000006_04	6	4	3497	1.0000000000000002
000006_05	6	5	2351	1.0000000000000002
