id	target_genre_id	rank	movie_id	score
01_01	1	1	2571	278
01_02	1	2	260	251
01_03	1	3	480	238
01_04	1	4	110	237
01_05	1	5	589	224
01_06	1	6	2959	218
01_07	1	7	1196	211
01_08	1	8	1198	200
01_09	1	9	1210	196
01_10	1	10	2028	188
01_11	1	11	7153	185
01_12	1	12	377	171
01_13	1	13	3578	170
01_14	1	14	648	162
01_15	1	15	6539	149
01_16	1	16	58559	149
01_17	1	17	1036	145
01_18	1	18	165	144
01_19	1	19	79132	143
01_20	1	20	1197	142
02_01	2	1	260	251
02_02	2	2	480	238
02_03	2	3	1	215
02_04	2	4	1196	211
02_05	2	5	150	201
02_06	2	6	1198	200
02_07	2	7	4993	198
02_08	2	8	1210	196
02_09	2	9	5952	188
02_10	2	10	7153	185
02_11	2	11	588	183
02_12	2	12	364	172
02_13	2	13	1270	171
02_14	2	14	3578	170
02_15	2	15	4306	170
02_16	2	16	590	164
02_17	2	17	648	162
02_18	2	18	6539	149
02_19	2	19	1197	142
02_20	2	20	6377	141
03_01	3	1	1	215
03_02	3	2	588	183
03_03	3	3	364	172
03_04	3	4	4306	170
03_05	3	5	595	146
03_06	3	6	6377	141
03_07	3	7	4886	132
03_08	3	8	8961	125
03_09	3	9	68954	105
03_10	3	10	60069	104
03_11	3	11	2987	97
03_12	3	12	3114	97
03_13	3	13	551	93
03_14	3	14	2355	92
03_15	3	15	8360	92
03_16	3	16	5618	87
03_17	3	17	5218	85
03_18	3	18	3751	78
03_19	3	19	594	77
03_20	3	20	2700	76
04_01	4	1	1	215
04_02	4	2	588	183
04_03	4	3	364	172
04_04	4	4	4306	170
04_05	4	5	595	146
04_06	4	6	6377	141
04_07	4	7	4886	132
04_08	4	8	34	128
04_09	4	9	8961	125
04_10	4	10	1097	122
04_11	4	11	1073	119
04_12	4	12	4896	107
04_13	4	13	68954	105
04_14	4	14	60069	104
04_15	4	15	2987	97
04_16	4	16	3114	97
04_17	4	17	551	93
04_18	4	18	919	92
04_19	4	19	2355	92
04_20	4	20	8360	92
05_01	5	1	356	329
05_02	5	2	296	307
05_03	5	3	1	215
05_04	5	4	588	183
05_05	5	5	608	181
05_06	5	6	1270	171
05_07	5	7	4306	170
05_08	5	8	6539	149
05_09	5	9	1265	143
05_10	5	10	1197	142
05_11	5	11	6377	141
05_12	5	12	1136	136
05_13	5	13	4886	132
05_14	5	14	1682	125
05_15	5	15	8961	125
05_16	5	16	2716	120
05_17	5	17	4973	120
