id	user_id	movie_id	tag	tagged_at
00000000-0000-0000-0000-000000000002_060756	00000000-0000-0000-0000-000000000002	60756	funny	2015-10-25 04:29:54
00000000-0000-0000-0000-000000000002_060756	00000000-0000-0000-0000-000000000002	60756	Highly quotable	2015-10-25 04:29:56
00000000-0000-0000-0000-000000000002_060756	00000000-0000-0000-0000-000000000002	60756	will ferrell	2015-10-25 04:29:52
00000000-0000-0000-0000-000000000002_089774	00000000-0000-0000-0000-000000000002	89774	Boxing story	2015-10-25 04:33:27
00000000-0000-0000-0000-000000000002_089774	00000000-0000-0000-0000-000000000002	89774	MMA	2015-10-25 04:33:20
00000000-0000-0000-0000-000000000002_089774	00000000-0000-0000-0000-000000000002	89774	Tom Hardy	2015-10-25 04:33:25
00000000-0000-0000-0000-000000000002_106782	00000000-0000-0000-0000-000000000002	106782	drugs	2015-10-25 04:30:54
00000000-0000-0000-0000-000000000002_106782	00000000-0000-0000-0000-000000000002	106782	Leonardo DiCaprio	2015-10-25 04:30:51
00000000-0000-0000-0000-000000000002_106782	00000000-0000-0000-0000-000000000002	106782	Martin Scorsese	2015-10-25 04:30:56
00000000-0000-0000-0000-000000000007_048516	00000000-0000-0000-0000-000000000007	48516	way too long	2007-01-25 10:08:45
00000000-0000-0000-0000-000000000018_000431	00000000-0000-0000-0000-000000000018	431	Al Pacino	2016-05-02 06:39:25
00000000-0000-0000-0000-000000000018_000431	00000000-0000-0000-0000-000000000018	431	gangster	2016-05-02 06:39:09
00000000-0000-0000-0000-000000000018_000431	00000000-0000-0000-0000-000000000018	431	mafia	2016-05-02 06:39:15
00000000-0000-0000-0000-000000000018_001221	00000000-0000-0000-0000-000000000018	1221	Al Pacino	2016-04-27 04:35:06
00000000-0000-0000-0000-000000000018_001221	00000000-0000-0000-0000-000000000018	1221	Mafia	2016-04-27 04:35:03
00000000-0000-0000-0000-000000000018_005995	00000000-0000-0000-0000-000000000018	5995	holocaust	2016-02-18 03:57:52
00000000-0000-0000-0000-000000000018_005995	00000000-0000-0000-0000-000000000018	5995	true story	2016-02-18 03:57:59
00000000-0000-0000-0000-000000000018_044665	00000000-0000-0000-0000-000000000018	44665	twist ending	2016-03-03 04:51:23
00000000-0000-0000-0000-000000000018_052604	00000000-0000-0000-0000-000000000018	52604	Anthony Hopkins	2016-03-11 07:58:16
00000000-0000-0000-0000-000000000018_052604	00000000-0000-0000-0000-000000000018	52604	courtroom drama	2016-03-11 07:58:31
00000000-0000-0000-0000-000000000018_052604	00000000-0000-0000-0000-000000000018	52604	twist ending	2016-03-11 07:58:02
00000000-0000-0000-0000-000000000018_088094	00000000-0000-0000-0000-000000000018	88094	britpop	2016-03-08 22:41:40
00000000-0000-0000-0000-000000000018_088094	00000000-0000-0000-0000-000000000018	88094	indie record label	2016-03-08 22:43:12
00000000-0000-0000-0000-000000000018_088094	00000000-0000-0000-0000-000000000018	88094	music	2016-03-08 22:43:29
00000000-0000-0000-0000-000000000018_144210	00000000-0000-0000-0000-000000000018	144210	dumpster diving	2016-02-10 08:26:21
00000000-0000-0000-0000-000000000018_144210	00000000-0000-0000-0000-000000000018	144210	Sustainability	2016-02-10 08:27:32
00000000-0000-0000-0000-000000000021_001569	00000000-0000-0000-0000-000000000021	1569	romantic comedy	2014-12-29 07:23:33
